rank,team,n_games,net,off,def,p_beat_avg,hfa,league_mean,sigma
1,Oklahoma,55,8.828416790652689,5.179041203252469,-3.6493755874002205,0.9718525832354632,0.17791093922200443,5.087762496180172,4.6252438134698775
2,UCLA,52,8.170191666341685,6.284300505409485,-1.8858911609322,0.9613385351171538,0.17791093922200443,5.087762496180172,4.6252438134698775
3,Texas Tech,55,8.080748512419653,4.434417526265843,-3.6463309861538105,0.9596897229288837,0.17791093922200443,5.087762496180172,4.6252438134698775
4,Nebraska,49,7.61472594965496,3.4907241482871374,-4.124001801367823,0.9501531563312311,0.17791093922200443,5.087762496180172,4.6252438134698775
5,Arkansas,51,7.440236336311756,3.526495077574734,-3.9137412587370215,0.9461497181775558,0.17791093922200443,5.087762496180172,4.6252438134698775
6,Texas,49,7.22100686031332,3.464089611475945,-3.756917248837375,0.9407636589228272,0.17791093922200443,5.087762496180172,4.6252438134698775
7,Florida,56,6.874961681698846,3.5505011227800787,-3.3244605589187675,0.9314133044346966,0.17791093922200443,5.087762496180172,4.6252438134698775
8,Alabama,53,6.669793826521163,2.5115451559729443,-4.158248670548218,0.9253546758574369,0.17791093922200443,5.087762496180172,4.6252438134698775
9,LSU,53,6.6176976577892965,2.972879446225114,-3.644818211564182,0.9237530924151917,0.17791093922200443,5.087762496180172,4.6252438134698775
10,Georgia,53,6.435427133516909,3.3379205416038817,-3.0975065919130276,0.9179434255449788,0.17791093922200443,5.087762496180172,4.6252438134698775
11,Florida St,54,6.367470922982456,2.9593460110584617,-3.408124911923994,0.9156940722304576,0.17791093922200443,5.087762496180172,4.6252438134698775
12,Virginia Tech,53,6.366745677444696,3.6883552568051527,-2.678390420639543,0.9156698194912871,0.17791093922200443,5.087762496180172,4.6252438134698775
13,Texas A&M,52,6.245004291952739,3.263256126272343,-2.981748165680396,0.9115240841913874,0.17791093922200443,5.087762496180172,4.6252438134698775
14,Duke,51,5.894108285329835,3.9078105277651405,-1.9862977575646952,0.898727572692829,0.17791093922200443,5.087762496180172,4.6252438134698775
15,Oregon,51,5.774134774554959,2.9589875023820387,-2.81514727217292,0.8940569198546416,0.17791093922200443,5.087762496180172,4.6252438134698775
16,Tennessee,51,5.706833424356453,1.7504739603100627,-3.9563594640463897,0.8913696449926185,0.17791093922200443,5.087762496180172,4.6252438134698775
17,Stanford,48,5.344258604953786,2.8100559120412893,-2.5342026929124963,0.8760478149174835,0.17791093922200443,5.087762496180172,4.6252438134698775
18,Oklahoma St,51,5.291267089407491,2.265835425734982,-3.025431663672509,0.8736876509947838,0.17791093922200443,5.087762496180172,4.6252438134698775
19,Arizona,50,5.093580168692428,3.1487141700590633,-1.9448659986333652,0.8646074978591607,0.17791093922200443,5.087762496180172,4.6252438134698775
20,Indiana,54,5.073730986907451,2.8905273424902393,-2.1832036444172114,0.8636716730447445,0.17791093922200443,5.087762496180172,4.6252438134698775
21,UCF,54,5.003207725635274,2.363684907610324,-2.639522818024951,0.8603109891305377,0.17791093922200443,5.087762496180172,4.6252438134698775
22,Mississippi St,54,4.912113516845805,1.1186068543446859,-3.7935066625011196,0.8558872900273735,0.17791093922200443,5.087762496180172,4.6252438134698775
23,Arizona St,54,4.859286154521446,2.830025967502098,-2.0292601870193483,0.8532790780162279,0.17791093922200443,5.087762496180172,4.6252438134698775
24,Washington,52,4.742980085806243,2.2108744884408225,-2.532105597365421,0.8474257612011702,0.17791093922200443,5.087762496180172,4.6252438134698775
25,South Carolina,55,4.686535407875162,1.4730249143899043,-3.2135104934852583,0.8445299855285827,0.17791093922200443,5.087762496180172,4.6252438134698775
26,SE Louisiana,59,4.452205518832249,1.4127174499419717,-3.0394880688902775,0.8321229110296988,0.17791093922200443,5.087762496180172,4.6252438134698775
27,Northwestern,49,4.422981214312794,2.400166341409399,-2.0228148729033952,0.8305320412644979,0.17791093922200443,5.087762496180172,4.6252438134698775
28,NE Omaha,44,4.258410440098818,1.8795675600107515,-2.3788428800880665,0.8213935522545031,0.17791093922200443,5.087762496180172,4.6252438134698775
29,Louisville,54,4.243501578010054,3.081201714390773,-1.1622998636192818,0.8205506154630757,0.17791093922200443,5.087762496180172,4.6252438134698775
30,Mississippi,55,4.146263685631158,2.2741876379307744,-1.872076047700384,0.8149916781734912,0.17791093922200443,5.087762496180172,4.6252438134698775
31,Kansas,52,4.10752034572038,2.0589832038296776,-2.048537141890703,0.8127472919070827,0.17791093922200443,5.087762496180172,4.6252438134698775
32,Grand Canyon,55,4.022278503206097,1.6909071306430934,-2.331371372563004,0.8077503196527794,0.17791093922200443,5.087762496180172,4.6252438134698775
33,Clemson,51,3.953212982175419,1.8799976185513656,-2.0732153636240533,0.8036423980435468,0.17791093922200443,5.087762496180172,4.6252438134698775
34,Georgia Tech,55,3.8784523926181302,1.7109127999831955,-2.167539592634935,0.7991362808563915,0.17791093922200443,5.087762496180172,4.6252438134698775
35,Boston Univ,56,3.7581943928315393,2.4404329228084563,-1.317761470023083,0.7917590026363124,0.17791093922200443,5.087762496180172,4.6252438134698775
36,Jacksonville St,55,3.7563667233470115,2.0482726421028383,-1.7080940812441732,0.7916456640799747,0.17791093922200443,5.087762496180172,4.6252438134698775
37,Virginia,49,3.62886928457331,1.1586809038650645,-2.4701883807082456,0.7836497842358043,0.17791093922200443,5.087762496180172,4.6252438134698775
38,Utah,55,3.5967452762375682,1.3201224423144715,-2.276622833923097,0.7816074942680656,0.17791093922200443,5.087762496180172,4.6252438134698775
39,Missouri,56,3.5439220313329276,0.8338443274920331,-2.7100777038408945,0.7782252187907406,0.17791093922200443,5.087762496180172,4.6252438134698775
40,Texas St,55,3.4544887915842493,0.7736636628151337,-2.680825128769116,0.7724311317681607,0.17791093922200443,5.087762496180172,4.6252438134698775
41,Michigan,52,3.375761311087716,2.0553509874722065,-1.3204103236155094,0.7672608529007168,0.17791093922200443,5.087762496180172,4.6252438134698775
